"","logFC","CI.L","CI.R","AveExpr","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","P value","Adjusted P value","negLog10rawP","negLog10adjP","sig.pval.fct","sig.FDR.fct"
"Q8K4I3_Arhgef6_1444",-0.00258971489415671,-0.392400768861182,0.387221339072868,18.2480548581723,-0.0135231123626268,-7.55864179487556,0.98929294468353,0.993417863146421,0,0,0.98929294468353,0.993417863146421,0.00467508815895667,0.00286803500299518,"nonDE","nonDE"
"P61021_Rab5b_1445",-0.191472055102828,-0.653873237100043,0.270929126894386,21.1768277958695,-0.842879158743431,-7.19751874960572,0.405443562157126,0.544738212289212,0,0,0.405443562157126,0.544738212289212,0.392069591143565,0.26381215877448,"nonDE","nonDE"
"A0A0U1RNF2_Lcmt1_1446",0.0471982126125425,-0.109802190398707,0.204198615623792,22.2896646939211,0.611803732736837,-7.36747717359971,0.544891919880606,0.667261715447013,0,0,0.544891919880606,0.667261715447013,0.263689632134952,0.175703792348511,"nonDE","nonDE"
"Q99M01_Fars2_1447",0.416086429031491,0.0156305564709874,0.816542301591995,18.4341697059612,2.11498716776731,-5.40477847558852,0.0421703163631816,0.0941825458188522,0,0,0.0421703163631816,0.0941825458188522,1.37499314088059,1.02602957445673,"nonDE","nonDE"
"Q9D5V5_Cul5_1448",-0.388735082456293,-0.659702803431252,-0.117767361481333,30.4979700255132,-2.91990514760988,-3.66683048632175,0.00629990444595536,0.0202521956049066,0,0,0.00629990444595536,0.0202521956049066,2.20066603767483,1.69352788665152,"nonDE","nonDE"
"P10639_Txn_1449",-0.000441533106915415,-0.142553564860612,0.141670498646781,27.2154263919047,-0.00632295021105159,-7.5587152427525,0.99499340977025,0.99687672943176,0,0,0.99499340977025,0.99687672943176,0.00217979574662952,0.00135854182621703,"nonDE","nonDE"
"Q80X50_Ubap2l_1450",0.090625609609198,-0.215349662932494,0.39660088215089,18.0464601243632,0.602884733015354,-7.37296024350837,0.550758350766938,0.672451049309865,0,0,0.550758350766938,0.672451049309865,0.259038909221214,0.172339324393749,"nonDE","nonDE"
"P06683_C9_1451",0.86859959237291,0.387608160079734,1.34959102466609,21.1871340547781,3.67587837297748,-1.75234841467974,0.000846823556669217,0.00382992187601571,0,0,0.000846823556669217,0.00382992187601571,3.07220706941838,2.41681008482023,"nonDE","nonDE"
"P14869_Rplp0_1452",-0.102833085229104,-0.331346163846765,0.125679993388557,21.7488286874563,-0.915836267794228,-7.13314202003484,0.366451156223781,0.509891112896836,0,0,0.366451156223781,0.509891112896836,0.435983903686216,0.292522557464767,"nonDE","nonDE"
"Q922D4_Ppp6r3_1454",0.0734685152473453,-0.0493437413382661,0.196280771832957,21.6856480376433,1.21743810043968,-6.81384242757482,0.232137537817608,0.361659021182149,0,0,0.232137537817608,0.361659021182149,0.634254626244286,0.441700697438802,"nonDE","nonDE"
"P43883_Plin2_1455",-0.202791103742058,-0.332346177381657,-0.073236030102459,22.9032198154608,-3.18553081660945,-3.01789673973044,0.00316687524651537,0.0115267877360572,0,0,0.00316687524651537,0.0115267877360572,2.49936904455897,1.93829170422952,"nonDE","nonDE"
"P62830_Rpl23_1456",0.132619599562002,-0.331755614566628,0.596994813690632,17.7757833392852,0.581323036333604,-7.38594125861959,0.565024504742144,0.683757172906919,0,0,0.565024504742144,0.683757172906919,0.247932716705312,0.165098104698653,"nonDE","nonDE"
"Q9DC61_Pmpca_1457",0.192111700050869,0.110950837904579,0.27327256219716,24.8878495839758,4.8171980375311,1.44850040358552,3.21098125269045e-05,0.000232707347072861,0,0,3.21098125269045e-05,0.000232707347072861,4.49336223005382,3.63318990488331,"nonDE","nonDE"
"Q9D1E6_Tbcb_1458",-0.189817720006257,-0.273267842293255,-0.106367597719259,24.1269536615475,-4.62910585944258,0.906410730586996,5.56124068546498e-05,0.000371177496096854,0,0,5.56124068546498e-05,0.000371177496096854,4.25482830864413,3.43041836224095,"nonDE","nonDE"
"O35658_C1qbp_1459",0.108976767045537,-0.197067855172549,0.415021389263622,19.5821435104225,0.724801098482617,-7.29088784739262,0.473746492283919,0.606076743116656,0,0,0.473746492283919,0.606076743116656,0.324453992617281,0.217472380781096,"nonDE","nonDE"
"Q9ET01_Pygl_1460",0.496479347748764,0.0463063693405329,0.946652326156995,19.2924944636848,2.24491869746617,-5.15081183665797,0.0316877593291418,0.0755590960901153,0,0,0.0316877593291418,0.0755590960901153,1.49910846908971,1.12171324616343,"nonDE","nonDE"
"Q91YI0_Asl_1461",0.125691953352039,-0.0758662401784436,0.327250146882521,19.4143608084783,1.26909565008188,-6.75081783766531,0.213352733445651,0.339158085620424,0,0,0.213352733445651,0.339158085620424,0.670901788648315,0.469597824777716,"nonDE","nonDE"
"Q9DB60_Prxl2b_1462",-0.0742036716027883,-0.23769976440987,0.0892924212042932,24.7928517568942,-0.923645574202355,-7.12595007059396,0.362426605312941,0.507221738186149,0,0,0.362426605312941,0.507221738186149,0.440779928775339,0.294802142011211,"nonDE","nonDE"
